"document_id","borough","doc_type","party_type","name","address_1","address_2","country","city","state","zip","recorded / filed","doc_amount"
"2018020900319002",1,"AGREEMENT","1","125 ACQUISTION LLC","125 BROAD STREET","","US","NEW YORK","NY","10017","2018-03-07 00:00:00",304000000
"2018020900319002",1,"AGREEMENT","1","SULLIVAN & CROMWELL LLP","125 BROAD STREET","","US","NEW YORK","NY","10004","2018-03-07 00:00:00",304000000
"2018020900319002",1,"AGREEMENT","2","WELLS FARGO BANK, NATIONAL ASSOCIATION","150 EAST 42ND STREET  35TH FLOOR","","US","NEW YORK","NY","10017","2018-03-07 00:00:00",304000000
"2018030500342005",1,"AGREEMENT","1","600 FEE, LLC","600 MADISON AVENUE","11TH FLOOR","US","NEW YORK","NY","10022","2018-03-06 00:00:00",185000000
"2018030500342005",1,"AGREEMENT","1","600 PARTNERS CO., L.P.","600 MADISON AVENUE","11TH FLOOR","US","NEW YORK","NY","10022","2018-03-06 00:00:00",185000000
"2018030500342005",1,"AGREEMENT","2","THE PRUDENTIAL INSURANCE COMPANY OF AMERICA","2100 ROSS AVENUE","SUITE 2500","US","DALLAS","TX","75201","2018-03-06 00:00:00",185000000
"2018030500342006",1,"ASSIGNMENT OF LEASES AND RENTS","1","600 FEE, LLC","600 MADISON AVENUE","11TH FLOOR","US","NEW YORK","NY","10022","2018-03-06 00:00:00",185000000
"2018030500342006",1,"ASSIGNMENT OF LEASES AND RENTS","1","600 PARTNERS CO., L.P.","600 MADISON AVENUE","11TH FLOOR","US","NEW YORK","NY","10022","2018-03-06 00:00:00",185000000
"2018030500342006",1,"ASSIGNMENT OF LEASES AND RENTS","2","THE PRUDENTIAL INSURANCE COMPANY OF AMERICA","2100 ROSS AVENUE","SUITE 2500","US","DALLAS","TX","75201","2018-03-06 00:00:00",185000000
"2018031200614007",1,"AGREEMENT","1","41-45 PROPERTY OWNER, LLC","C/O Z EAST 60TH MGR., LLC","445 PARK AVENUE","US","NEW YORK","NY","10022","2018-03-13 00:00:00",175000000
"2018031200614007",1,"AGREEMENT","2","HSBC BANK USA, NATIONAL ASSOCIATION","452 FIFTH AVENUE","","US","NEW YORK","NY","10018","2018-03-13 00:00:00",175000000
"2018031200614008",1,"ASSIGNMENT OF LEASES AND RENTS","1","41-45 PROPERTY OWNER, LLC","C/O Z EAST 60TH MGR., LLC","445 PARK AVENUE","US","NEW YORK","NY","10022","2018-03-13 00:00:00",175000000
"2018031200614008",1,"ASSIGNMENT OF LEASES AND RENTS","2","HSBC BANK USA, NATIONAL ASSOCIATION","452 FIFTH AVENUE","","US","NEW YORK","NY","10018","2018-03-13 00:00:00",175000000
"2018031900953004",1,"AGREEMENT","1","RB APARTMENTS LLC","C/O BARINGS LLC","180 GLASTONBURY BOULEVARD  -  SUITE 200","US","GLASTONBURY","CT","06033","2018-03-20 00:00:00",155000000
"2018031900953004",1,"AGREEMENT","2","ING CAPITAL LLC","1133 AVENUE OF THE AMERICAS","","US","NEW YORK","NY","10036","2018-03-20 00:00:00",155000000
"2018031900953005",1,"ASSIGNMENT OF LEASES AND RENTS","1","RB APARTMENTS LLC","C/O BARINGS LLC","180 GLASTONBURY BOULEVARD  -  SUITE 200","US","GLASTONBURY","CT","06033","2018-03-20 00:00:00",155000000
"2018031900953005",1,"ASSIGNMENT OF LEASES AND RENTS","2","ING CAPITAL LLC","1133 AVENUE OF THE AMERICAS","","US","NEW YORK","NY","10036","2018-03-20 00:00:00",155000000
"2018030100627002",1,"AGREEMENT","1","250 WEST 43 OWNER III LLC","C/O THE CHETRIT GROUP LLC","512 SEVENTH AVENUE, 16TH FLOOR","US","NEW YORK","NY","10018","2018-03-09 00:00:00",129000000
"2018030100627002",1,"AGREEMENT","1","250 WEST 43 OWNER II LLC","C/O THE CHETRIT GROUP, LLC","512 SEVENTH AVENUE, 16TH FLOOR","US","NEW YORK","NY","10018","2018-03-09 00:00:00",129000000
"2018030100627002",1,"AGREEMENT","1","250 WEST 43 OWNER LLC","C/O THE CHETRIT GROUP, LLC","512 SEVENTH AVENUE, 16TH FLOOR","US","NEW YORK","NY","10018","2018-03-09 00:00:00",129000000
"2018030100627002",1,"AGREEMENT","2","JPMORGAN CHASE BANK,  NATIONAL ASSOCIATION","383 MADISON AVENUE","","US","NEW YORK","NY","10179","2018-03-09 00:00:00",129000000
"2018031900953003",1,"MORTGAGE","1","RB APARTMENTS LLC","C/O BARINGS LLC","180 GLASTONBURY BOULEVARD  -  SUITE 200","US","GLASTONBURY","CT","06033","2018-03-20 00:00:00",100327557.98
"2018031900953003",1,"MORTGAGE","2","ING CAPITAL LLC","1133 AVENUE OF THE AMERICAS","","US","NEW YORK","NY","10036","2018-03-20 00:00:00",100327557.98
"2018030900958001",1,"AGREEMENT","1","MET TOWER OWNER, LLC","C/O L&L MET TOWER MANAGER, LLC","142 WEST 57TH STREET","US","NEW YORK","NY","10019","2018-03-14 00:00:00",100000000
"2018030900958001",1,"AGREEMENT","2","AAREAL CAPITAL CORPORATION","250 PARK AVENUE, SUITE 820","","US","NEW YORK","NY","10177","2018-03-14 00:00:00",100000000
"2018030900958004",1,"ASSIGNMENT OF LEASES AND RENTS","1","MET TOWER OWNER, LLC","C/O L&L MET TOWER MANAGER, LLC","142 WEST 57TH STREET","US","NEW YORK","NY","10019","2018-03-14 00:00:00",100000000
"2018030900958004",1,"ASSIGNMENT OF LEASES AND RENTS","2","AAREAL CAPITAL CORPORATION","250 PARK AVENUE, SUITE 820","","US","NEW YORK","NY","10177","2018-03-14 00:00:00",100000000
"2018030900338015",1,"AGREEMENT","1","203 W 107 STREET LLC","1 BATTERY PARK PLAZA, SUITE 3100","","US","NEW YORK","NY","10004","2018-03-13 00:00:00",91920000
